"class","age_class","gender","fec","deaths","week","pob","class2","date_plot"
"1","0-59","1",2020-03-02,0,10,4190359,1,2020-03-02
"1","0-59","2",2020-03-02,0,10,4074690,2,2020-03-02
"1","60-+","1",2020-03-02,0,10,557258,3,2020-03-02
"1","60-+","2",2020-03-02,0,10,500271,4,2020-03-02
"2","0-59","1",2020-03-02,0,10,624067,5,2020-03-02
"2","0-59","2",2020-03-02,0,10,555371,6,2020-03-02
"2","60-+","1",2020-03-02,0,10,176506,7,2020-03-02
"2","60-+","2",2020-03-02,0,10,126073,8,2020-03-02
"1","0-59","1",2020-03-03,0,10,4190359,1,2020-03-03
"1","0-59","2",2020-03-03,0,10,4074690,2,2020-03-03
"1","60-+","1",2020-03-03,0,10,557258,3,2020-03-03
"1","60-+","2",2020-03-03,0,10,500271,4,2020-03-03
"2","0-59","1",2020-03-03,0,10,624067,5,2020-03-03
"2","0-59","2",2020-03-03,0,10,555371,6,2020-03-03
"2","60-+","1",2020-03-03,0,10,176506,7,2020-03-03
"2","60-+","2",2020-03-03,0,10,126073,8,2020-03-03
"1","0-59","1",2020-03-04,0,10,4190359,1,2020-03-04
"1","0-59","2",2020-03-04,0,10,4074690,2,2020-03-04
"1","60-+","1",2020-03-04,0,10,557258,3,2020-03-04
"1","60-+","2",2020-03-04,0,10,500271,4,2020-03-04
"2","0-59","1",2020-03-04,0,10,624067,5,2020-03-04
"2","0-59","2",2020-03-04,0,10,555371,6,2020-03-04
"2","60-+","1",2020-03-04,0,10,176506,7,2020-03-04
"2","60-+","2",2020-03-04,0,10,126073,8,2020-03-04
"1","0-59","1",2020-03-05,0,10,4190359,1,2020-03-05
"1","0-59","2",2020-03-05,0,10,4074690,2,2020-03-05
"1","60-+","1",2020-03-05,0,10,557258,3,2020-03-05
"1","60-+","2",2020-03-05,0,10,500271,4,2020-03-05
"2","0-59","1",2020-03-05,0,10,624067,5,2020-03-05
"2","0-59","2",2020-03-05,0,10,555371,6,2020-03-05
"2","60-+","1",2020-03-05,0,10,176506,7,2020-03-05
"2","60-+","2",2020-03-05,0,10,126073,8,2020-03-05
"1","0-59","1",2020-03-06,0,10,4190359,1,2020-03-06
"1","0-59","2",2020-03-06,0,10,4074690,2,2020-03-06
"1","60-+","1",2020-03-06,0,10,557258,3,2020-03-06
"1","60-+","2",2020-03-06,0,10,500271,4,2020-03-06
"2","0-59","1",2020-03-06,0,10,624067,5,2020-03-06
"2","0-59","2",2020-03-06,0,10,555371,6,2020-03-06
"2","60-+","1",2020-03-06,0,10,176506,7,2020-03-06
"2","60-+","2",2020-03-06,0,10,126073,8,2020-03-06
"1","0-59","1",2020-03-07,0,10,4190359,1,2020-03-07
"1","0-59","2",2020-03-07,0,10,4074690,2,2020-03-07
"1","60-+","1",2020-03-07,0,10,557258,3,2020-03-07
"1","60-+","2",2020-03-07,0,10,500271,4,2020-03-07
"2","0-59","1",2020-03-07,0,10,624067,5,2020-03-07
"2","0-59","2",2020-03-07,0,10,555371,6,2020-03-07
"2","60-+","1",2020-03-07,0,10,176506,7,2020-03-07
"2","60-+","2",2020-03-07,0,10,126073,8,2020-03-07
"1","0-59","1",2020-03-08,0,10,4190359,1,2020-03-08
"1","0-59","2",2020-03-08,1,10,4074690,2,2020-03-08
"1","60-+","1",2020-03-08,0,10,557258,3,2020-03-08
"1","60-+","2",2020-03-08,0,10,500271,4,2020-03-08
"2","0-59","1",2020-03-08,0,10,624067,5,2020-03-08
"2","0-59","2",2020-03-08,0,10,555371,6,2020-03-08
"2","60-+","1",2020-03-08,0,10,176506,7,2020-03-08
"2","60-+","2",2020-03-08,0,10,126073,8,2020-03-08
"1","0-59","1",2020-03-09,0,11,4190359,1,2020-03-09
"1","0-59","2",2020-03-09,0,11,4074690,2,2020-03-09
"1","60-+","1",2020-03-09,0,11,557258,3,2020-03-09
"1","60-+","2",2020-03-09,0,11,500271,4,2020-03-09
"2","0-59","1",2020-03-09,0,11,624067,5,2020-03-09
"2","0-59","2",2020-03-09,0,11,555371,6,2020-03-09
"2","60-+","1",2020-03-09,0,11,176506,7,2020-03-09
"2","60-+","2",2020-03-09,0,11,126073,8,2020-03-09
"1","0-59","1",2020-03-10,0,11,4190359,1,2020-03-10
"1","0-59","2",2020-03-10,0,11,4074690,2,2020-03-10
"1","60-+","1",2020-03-10,0,11,557258,3,2020-03-10
"1","60-+","2",2020-03-10,0,11,500271,4,2020-03-10
"2","0-59","1",2020-03-10,0,11,624067,5,2020-03-10
"2","0-59","2",2020-03-10,0,11,555371,6,2020-03-10
"2","60-+","1",2020-03-10,1,11,176506,7,2020-03-10
"2","60-+","2",2020-03-10,0,11,126073,8,2020-03-10
"1","0-59","1",2020-03-11,0,11,4190359,1,2020-03-11
"1","0-59","2",2020-03-11,0,11,4074690,2,2020-03-11
"1","60-+","1",2020-03-11,0,11,557258,3,2020-03-11
"1","60-+","2",2020-03-11,0,11,500271,4,2020-03-11
"2","0-59","1",2020-03-11,0,11,624067,5,2020-03-11
"2","0-59","2",2020-03-11,0,11,555371,6,2020-03-11
"2","60-+","1",2020-03-11,0,11,176506,7,2020-03-11
"2","60-+","2",2020-03-11,0,11,126073,8,2020-03-11
"1","0-59","1",2020-03-12,0,11,4190359,1,2020-03-12
"1","0-59","2",2020-03-12,0,11,4074690,2,2020-03-12
"1","60-+","1",2020-03-12,0,11,557258,3,2020-03-12
"1","60-+","2",2020-03-12,0,11,500271,4,2020-03-12
"2","0-59","1",2020-03-12,0,11,624067,5,2020-03-12
"2","0-59","2",2020-03-12,0,11,555371,6,2020-03-12
"2","60-+","1",2020-03-12,0,11,176506,7,2020-03-12
"2","60-+","2",2020-03-12,0,11,126073,8,2020-03-12
"1","0-59","1",2020-03-13,0,11,4190359,1,2020-03-13
"1","0-59","2",2020-03-13,0,11,4074690,2,2020-03-13
"1","60-+","1",2020-03-13,0,11,557258,3,2020-03-13
"1","60-+","2",2020-03-13,0,11,500271,4,2020-03-13
"2","0-59","1",2020-03-13,0,11,624067,5,2020-03-13
"2","0-59","2",2020-03-13,0,11,555371,6,2020-03-13
"2","60-+","1",2020-03-13,0,11,176506,7,2020-03-13
"2","60-+","2",2020-03-13,0,11,126073,8,2020-03-13
"1","0-59","1",2020-03-14,0,11,4190359,1,2020-03-14
"1","0-59","2",2020-03-14,0,11,4074690,2,2020-03-14
"1","60-+","1",2020-03-14,0,11,557258,3,2020-03-14
"1","60-+","2",2020-03-14,0,11,500271,4,2020-03-14
"2","0-59","1",2020-03-14,0,11,624067,5,2020-03-14
"2","0-59","2",2020-03-14,0,11,555371,6,2020-03-14
"2","60-+","1",2020-03-14,0,11,176506,7,2020-03-14
"2","60-+","2",2020-03-14,0,11,126073,8,2020-03-14
"1","0-59","1",2020-03-15,0,11,4190359,1,2020-03-15
"1","0-59","2",2020-03-15,0,11,4074690,2,2020-03-15
"1","60-+","1",2020-03-15,1,11,557258,3,2020-03-15
"1","60-+","2",2020-03-15,0,11,500271,4,2020-03-15
"2","0-59","1",2020-03-15,0,11,624067,5,2020-03-15
"2","0-59","2",2020-03-15,0,11,555371,6,2020-03-15
"2","60-+","1",2020-03-15,0,11,176506,7,2020-03-15
"2","60-+","2",2020-03-15,0,11,126073,8,2020-03-15
"1","0-59","1",2020-03-16,0,12,4190359,1,2020-03-16
"1","0-59","2",2020-03-16,0,12,4074690,2,2020-03-16
